227,1h 41m,5.6,60,32,7.5
228,1h 42m,4.5,32,18,5.7
229,1h 43m,7.2,98,60,6.4
230,2h 12m,7.4,218,54,6.7
231,1h 47m,7.3,543,81,6.2
232,2h 4m,7.8,93,54,7.1
233,1h 43m,7.0,105,52,6.2
234,1h 53m,4.2,75,15,6.1
235,2h 7m,7.8,496,115,6.6
236,1h 51m,6.6,132,42,7.3
237,1h 41m,6.5,60,32,7.1
238,1h 21m,6.3,22,13,6.9
239,1h 18m,6.9,161,37,6.7
240,1h 46m,5.3,69,27,5.6
241,1h 36m,6.6,56,23,6.5
242,1h 51m,6.8,40,20,6.7
243,1h 30m,3.7,35,12,3.7
246,2h 50m,8.3,101,45,7.3
247,1h 39m,7.3,300,96,7.8
248,1h 53m,5.9,49,14,6.4
249,2h 1m,7.4,148,24,5.6
250,1h 40m,6.6,82,21,6.0
251,1h 51m,5.9,67,31,5.5
252,1h 40m,6.2,93,30,6.4
253,2h 3m,7.5,539,71,6.6
254,2h 19m,5.7,37,19,6.5
255,1h 22m,4.7,44,23,5.0
256,1h 49m,4.7,109,42,6.3
257,1h 42m,6.4,111,28,6.6
258,1h 29m,4.7,22,11,6.5
259,1h 41m,5.9,68,35,6.6
260,2h 1m,8.6,2.1K,191,7.0
261,1h 55m,7.3,206,54,6.7
262,1h 37m,7.6,140,31,6.7
263,1h 41m,7.4,24,12,6.9
265,1h 45m,7.1,169,31,6.0
266,2h 13m,7.5,485,76,6.9
267,1h 35m,6.3,93,16,6.2
269,1h 32m,6.5,31,10,7.2
270,1h 48m,6.0,49,12,6.7
271,1h 51m,6.4,44,15,6.9
272,1h 50m,7.2,74,42,8.1
273,2h 3m,6.3,317,93,7.1
274,1h 36m,5.2,39,16,6.0
275,1h 37m,5.4,156,27,6.2
276,1h 50m,5.6,60,22,6.4
277,1h 54m,6.6,134,50,6.4
278,1h 35m,5.4,28,17,6.9
279,2h 8m,7.3,25,14,6.7
280,2h 2m,7.3,140,44,6.1
281,1h 50m,7.3,121,49,6.6
282,1h 52m,6.5,101,28,7.4
283,1h 38m,6.6,19,9,7.3
284,1h 33m,4.2,3,5,5.7
285,1h 29m,3.2,9,8,6.4
287,1h 38m,5.4,7,13,5.7
288,1h 59m,7.2,715,124,6.5
289,1h 49m,6.5,116,22,6.5
290,1h 42m,7.9,329,47,6.9
